claim_id,instance_id,shots,sim_seed,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
L2-C3,er_n8_p0.2_seed1,4096,3,0.05,2.23974609375,2.717529296875,0.477783203125,1
L2-C1,er_n8_p0.2_seed1,4096,4,0.0,2.263427734375,2.73193359375,0.468505859375,1
L2-C2,er_n8_p0.2_seed1,4096,4,0.01,2.263427734375,2.73193359375,0.468505859375,1
L2-C3,er_n8_p0.2_seed1,4096,4,0.05,2.263427734375,2.73193359375,0.468505859375,1
L2-C1,er_n8_p0.2_seed1,4096,5,0.0,2.30419921875,2.73388671875,0.4296875,1
L2-C2,er_n8_p0.2_seed1,4096,5,0.01,2.30419921875,2.73388671875,0.4296875,1
L2-C3,er_n8_p0.2_seed1,4096,5,0.05,2.30419921875,2.73388671875,0.4296875,1
L2-C1,er_n8_p0.2_seed1,4096,6,0.0,2.271728515625,2.7314453125,0.459716796875,1
L2-C2,er_n8_p0.2_seed1,4096,6,0.01,2.271728515625,2.7314453125,0.459716796875,1
L2-C3,er_n8_p0.2_seed1,4096,6,0.05,2.271728515625,2.7314453125,0.459716796875,1
L2-C1,er_n8_p0.2_seed1,4096,7,0.0,2.23486328125,2.72900390625,0.494140625,1
L2-C2,er_n8_p0.2_seed1,4096,7,0.01,2.23486328125,2.72900390625,0.494140625,1
L2-C3,er_n8_p0.2_seed1,4096,7,0.05,2.23486328125,2.72900390625,0.494140625,1
L2-C1,er_n8_p0.2_seed1,4096,8,0.0,2.268310546875,2.751220703125,0.48291015625,1
L2-C2,er_n8_p0.2_seed1,4096,8,0.01,2.268310546875,2.751220703125,0.48291015625,1
L2-C3,er_n8_p0.2_seed1,4096,8,0.05,2.268310546875,2.751220703125,0.48291015625,1
L2-C1,er_n8_p0.2_seed1,4096,9,0.0,2.24658203125,2.73779296875,0.4912109375,1
L2-C2,er_n8_p0.2_seed1,4096,9,0.01,2.24658203125,2.73779296875,0.4912109375,1
L2-C3,er_n8_p0.2_seed1,4096,9,0.05,2.24658203125,2.73779296875,0.4912109375,1
L2-C1,er_n8_p0.2_seed2,128,0,0.0,1.7890625,1.625,-0.1640625,0
L2-C2,er_n8_p0.2_seed2,128,0,0.01,1.7890625,1.625,-0.1640625,0
L2-C3,er_n8_p0.2_seed2,128,0,0.05,1.7890625,1.625,-0.1640625,0
L2-C1,er_n8_p0.2_seed2,128,1,0.0,1.8125,1.84375,0.03125,1
L2-C2,er_n8_p0.2_seed2,128,1,0.01,1.8125,1.84375,0.03125,1
L2-C3,er_n8_p0.2_seed2,128,1,0.05,1.8125,1.84375,0.03125,0
L2-C1,er_n8_p0.2_seed2,128,2,0.0,1.75,1.671875,-0.078125,0
L2-C2,er_n8_p0.2_seed2,128,2,0.01,1.75,1.671875,-0.078125,0
L2-C3,er_n8_p0.2_seed2,128,2,0.05,1.75,1.671875,-0.078125,0
L2-C1,er_n8_p0.2_seed2,128,3,0.0,1.6953125,1.71875,0.0234375,1
L2-C2,er_n8_p0.2_seed2,128,3,0.01,1.6953125,1.71875,0.0234375,1
L2-C3,er_n8_p0.2_seed2,128,3,0.05,1.6953125,1.71875,0.0234375,0
L2-C1,er_n8_p0.2_seed2,128,4,0.0,1.7734375,1.75,-0.0234375,0
L2-C2,er_n8_p0.2_seed2,128,4,0.01,1.7734375,1.75,-0.0234375,0
L2-C3,er_n8_p0.2_seed2,128,4,0.05,1.7734375,1.75,-0.0234375,0
L2-C1,er_n8_p0.2_seed2,128,5,0.0,1.75,1.828125,0.078125,1
L2-C2,er_n8_p0.2_seed2,128,5,0.01,1.75,1.828125,0.078125,1
L2-C3,er_n8_p0.2_seed2,128,5,0.05,1.75,1.828125,0.078125,1
L2-C1,er_n8_p0.2_seed2,128,6,0.0,1.6875,1.7578125,0.0703125,1
L2-C2,er_n8_p0.2_seed2,128,6,0.01,1.6875,1.7578125,0.0703125,1
L2-C3,er_n8_p0.2_seed2,128,6,0.05,1.6875,1.7578125,0.0703125,1
L2-C1,er_n8_p0.2_seed2,128,7,0.0,1.875,1.6640625,-0.2109375,0
L2-C2,er_n8_p0.2_seed2,128,7,0.01,1.875,1.6640625,-0.2109375,0
L2-C3,er_n8_p0.2_seed2,128,7,0.05,1.875,1.6640625,-0.2109375,0
L2-C1,er_n8_p0.2_seed2,128,8,0.0,1.7265625,1.75,0.0234375,1
L2-C2,er_n8_p0.2_seed2,128,8,0.01,1.7265625,1.75,0.0234375,1
L2-C3,er_n8_p0.2_seed2,128,8,0.05,1.7265625,1.75,0.0234375,0
L2-C1,er_n8_p0.2_seed2,128,9,0.0,1.9375,1.703125,-0.234375,0
L2-C2,er_n8_p0.2_seed2,128,9,0.01,1.9375,1.703125,-0.234375,0
L2-C3,er_n8_p0.2_seed2,128,9,0.05,1.9375,1.703125,-0.234375,0
L2-C1,er_n8_p0.2_seed2,512,0,0.0,1.74609375,1.681640625,-0.064453125,0
L2-C2,er_n8_p0.2_seed2,512,0,0.01,1.74609375,1.681640625,-0.064453125,0
L2-C3,er_n8_p0.2_seed2,512,0,0.05,1.74609375,1.681640625,-0.064453125,0
L2-C1,er_n8_p0.2_seed2,512,1,0.0,1.744140625,1.73046875,-0.013671875,0
L2-C2,er_n8_p0.2_seed2,512,1,0.01,1.744140625,1.73046875,-0.013671875,0
L2-C3,er_n8_p0.2_seed2,512,1,0.05,1.744140625,1.73046875,-0.013671875,0
L2-C1,er_n8_p0.2_seed2,512,2,0.0,1.810546875,1.638671875,-0.171875,0
L2-C2,er_n8_p0.2_seed2,512,2,0.01,1.810546875,1.638671875,-0.171875,0
L2-C3,er_n8_p0.2_seed2,512,2,0.05,1.810546875,1.638671875,-0.171875,0
L2-C1,er_n8_p0.2_seed2,512,3,0.0,1.794921875,1.724609375,-0.0703125,0
L2-C2,er_n8_p0.2_seed2,512,3,0.01,1.794921875,1.724609375,-0.0703125,0
L2-C3,er_n8_p0.2_seed2,512,3,0.05,1.794921875,1.724609375,-0.0703125,0
L2-C1,er_n8_p0.2_seed2,512,4,0.0,1.77734375,1.716796875,-0.060546875,0
L2-C2,er_n8_p0.2_seed2,512,4,0.01,1.77734375,1.716796875,-0.060546875,0
L2-C3,er_n8_p0.2_seed2,512,4,0.05,1.77734375,1.716796875,-0.060546875,0
