claim_id,instance_id,l1_regime,shots,sim_seed,noise_regime,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
COMB-C1,er_n10_p0.2_seed4,default-low,512,1,depol-high,0.0,4.828125,4.755859375,-0.072265625,0
COMB-C2,er_n10_p0.2_seed4,default-low,512,1,depol-high,0.01,4.828125,4.755859375,-0.072265625,0
COMB-C3,er_n10_p0.2_seed4,default-low,512,1,depol-high,0.05,4.828125,4.755859375,-0.072265625,0
COMB-C1,er_n10_p0.2_seed4,default-low,512,2,ideal,0.0,4.71484375,4.53125,-0.18359375,0
COMB-C2,er_n10_p0.2_seed4,default-low,512,2,ideal,0.01,4.71484375,4.53125,-0.18359375,0
COMB-C3,er_n10_p0.2_seed4,default-low,512,2,ideal,0.05,4.71484375,4.53125,-0.18359375,0
COMB-C1,er_n10_p0.2_seed4,default-low,512,2,depol-medium,0.0,4.798828125,4.666015625,-0.1328125,0
COMB-C2,er_n10_p0.2_seed4,default-low,512,2,depol-medium,0.01,4.798828125,4.666015625,-0.1328125,0
COMB-C3,er_n10_p0.2_seed4,default-low,512,2,depol-medium,0.05,4.798828125,4.666015625,-0.1328125,0
COMB-C1,er_n10_p0.2_seed4,default-low,512,2,depol-high,0.0,4.82421875,4.74609375,-0.078125,0
COMB-C2,er_n10_p0.2_seed4,default-low,512,2,depol-high,0.01,4.82421875,4.74609375,-0.078125,0
COMB-C3,er_n10_p0.2_seed4,default-low,512,2,depol-high,0.05,4.82421875,4.74609375,-0.078125,0
COMB-C1,er_n10_p0.2_seed4,default-low,1024,0,ideal,0.0,4.8095703125,4.712890625,-0.0966796875,0
COMB-C2,er_n10_p0.2_seed4,default-low,1024,0,ideal,0.01,4.8095703125,4.712890625,-0.0966796875,0
COMB-C3,er_n10_p0.2_seed4,default-low,1024,0,ideal,0.05,4.8095703125,4.712890625,-0.0966796875,0
COMB-C1,er_n10_p0.2_seed4,default-low,1024,0,depol-medium,0.0,4.8076171875,4.662109375,-0.1455078125,0
COMB-C2,er_n10_p0.2_seed4,default-low,1024,0,depol-medium,0.01,4.8076171875,4.662109375,-0.1455078125,0
COMB-C3,er_n10_p0.2_seed4,default-low,1024,0,depol-medium,0.05,4.8076171875,4.662109375,-0.1455078125,0
COMB-C1,er_n10_p0.2_seed4,default-low,1024,0,depol-high,0.0,4.814453125,4.7626953125,-0.0517578125,0
COMB-C2,er_n10_p0.2_seed4,default-low,1024,0,depol-high,0.01,4.814453125,4.7626953125,-0.0517578125,0
COMB-C3,er_n10_p0.2_seed4,default-low,1024,0,depol-high,0.05,4.814453125,4.7626953125,-0.0517578125,0
COMB-C1,er_n10_p0.2_seed4,default-low,1024,1,ideal,0.0,4.9365234375,4.626953125,-0.3095703125,0
COMB-C2,er_n10_p0.2_seed4,default-low,1024,1,ideal,0.01,4.9365234375,4.626953125,-0.3095703125,0
COMB-C3,er_n10_p0.2_seed4,default-low,1024,1,ideal,0.05,4.9365234375,4.626953125,-0.3095703125,0
COMB-C1,er_n10_p0.2_seed4,default-low,1024,1,depol-medium,0.0,4.806640625,4.6591796875,-0.1474609375,0
COMB-C2,er_n10_p0.2_seed4,default-low,1024,1,depol-medium,0.01,4.806640625,4.6591796875,-0.1474609375,0
