claim_id,instance_id,optimizer,init_seed,delta,p1_best_expected_cut,p2_best_expected_cut,p1_n_evals,p2_n_evals,margin,preserves_direction
ALGO-C3,er_n8_p0.2_seed1,Nelder-Mead,1,0.05,5.150726684843088,4.918242096829823,58,57,-0.2324845880132651,0
ALGO-C1,er_n8_p0.2_seed1,Nelder-Mead,2,0.0,5.150762548112753,5.224867703758032,51,51,0.0741051556452792,1
ALGO-C2,er_n8_p0.2_seed1,Nelder-Mead,2,0.01,5.150762548112753,5.224867703758032,51,51,0.0741051556452792,1
ALGO-C3,er_n8_p0.2_seed1,Nelder-Mead,2,0.05,5.150762548112753,5.224867703758032,51,51,0.0741051556452792,1
ALGO-C1,er_n8_p0.2_seed1,Nelder-Mead,3,0.0,5.150760383010396,5.5594751356239955,56,54,0.4087147526135997,1
ALGO-C2,er_n8_p0.2_seed1,Nelder-Mead,3,0.01,5.150760383010396,5.5594751356239955,56,54,0.4087147526135997,1
ALGO-C3,er_n8_p0.2_seed1,Nelder-Mead,3,0.05,5.150760383010396,5.5594751356239955,56,54,0.4087147526135997,1
ALGO-C1,er_n8_p0.2_seed1,Nelder-Mead,4,0.0,5.150763038469975,5.63125966284323,48,48,0.4804966243732549,1
ALGO-C2,er_n8_p0.2_seed1,Nelder-Mead,4,0.01,5.150763038469975,5.63125966284323,48,48,0.4804966243732549,1
ALGO-C3,er_n8_p0.2_seed1,Nelder-Mead,4,0.05,5.150763038469975,5.63125966284323,48,48,0.4804966243732549,1
ALGO-C1,er_n8_p0.2_seed1,Nelder-Mead,5,0.0,5.150763965771118,5.276446270025071,47,53,0.125682304253953,1
ALGO-C2,er_n8_p0.2_seed1,Nelder-Mead,5,0.01,5.150763965771118,5.276446270025071,47,53,0.125682304253953,1
ALGO-C3,er_n8_p0.2_seed1,Nelder-Mead,5,0.05,5.150763965771118,5.276446270025071,47,53,0.125682304253953,1
ALGO-C1,er_n8_p0.2_seed1,Nelder-Mead,6,0.0,5.1507629964579795,5.243228676528863,56,52,0.09246568007088385,1
ALGO-C2,er_n8_p0.2_seed1,Nelder-Mead,6,0.01,5.1507629964579795,5.243228676528863,56,52,0.09246568007088385,1
ALGO-C3,er_n8_p0.2_seed1,Nelder-Mead,6,0.05,5.1507629964579795,5.243228676528863,56,52,0.09246568007088385,1
ALGO-C1,er_n8_p0.2_seed1,Nelder-Mead,7,0.0,5.150750218185877,5.387571535696751,57,50,0.23682131751087443,1
ALGO-C2,er_n8_p0.2_seed1,Nelder-Mead,7,0.01,5.150750218185877,5.387571535696751,57,50,0.23682131751087443,1
